gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,neg_log10_padj
ARHGAP30,5.9383694916722005,-1.1387521950331208,0.15138891832339094,-7.522031385418608,5.3931632944774435e-14,7.631564697229585e-12,11.11738640965914
ACAP1,3.759518581637095,-1.4157742772960333,0.18845835808599287,-7.512398450643514,5.805377210249048e-14,8.14280540279669e-12,11.089225943876134
NCF4,7.247081207612655,-1.2141324631791044,0.16171646958605698,-7.507784867471441,6.013622265275786e-14,8.36154956710955e-12,11.077713231402644
IGF1,9.887681953664236,-2.0818789681793217,0.27789429661686255,-7.491621791179265,6.802771631778023e-14,9.377268826907808e-12,11.02792363348871
NHSL2,1.373697588489771,-1.7201895183921148,0.22994092154930434,-7.481006455057059,7.375555565755832e-14,1.0021855706400366e-11,10.999051854473727
PDRG1,13.733252080101934,0.8047708487453347,0.10759271912801889,7.479789109036089,7.444197315765842e-14,1.0021855706400366e-11,10.999051854473727
CKS1B,14.733175311915609,0.9311617334622994,0.12451282934457195,7.478440080141771,7.520997846568414e-14,1.0021855706400366e-11,10.999051854473727
PPP1R16B,3.2510067108006266,-1.4236205496364882,0.1903633443826433,-7.478438426543474,7.521092462589393e-14,1.0021855706400366e-11,10.999051854473727
FABP4,14.357358071297572,-2.914359054722739,0.390340576122033,-7.466195504644685,8.254667535030933e-14,1.0908440816954101e-11,10.962237320262636
TGIF2,31.4450901092072,0.6928403459271791,0.09286462313559879,7.460756556514633,8.602706982942209e-14,1.127518726698737e-11,10.947876236293117
CCT6A,70.74489724693224,0.693187548110711,0.09303766528075347,7.450612029213393,9.290820793346049e-14,1.2078067031349863e-11,10.918002564455755
PLEKHO2,12.363754084828248,-0.7677765424951783,0.10315413073621406,-7.443003368023507,9.842157705315552e-14,1.269162110548352e-11,10.896482901766548
HDGF,126.33688495741197,0.7144075861832097,0.096006210542799,7.441264290550569,9.972619917216361e-14,1.2756975398103168e-11,10.894252282011482
MSL3P1,5.686830991447105,1.191726061946893,0.16022134728463572,7.437998008029311,1.0222260142888962e-13,1.2972534895618611e-11,10.886975152396055
PCOLCE-AS1,3.9287404781133666,-1.233375206908553,0.1659368917081645,-7.432796855552211,1.0632513077720018e-13,1.3386920008877408e-11,10.873319331652192
PSMA7,180.3368428736819,0.7178080787463381,0.09661396450312136,7.429651421903378,1.088842362734084e-13,1.3602022953217191e-11,10.866396496623558
KIF2C,9.291359654377745,1.1337741743383019,0.15264888364627605,7.427333546477337,1.1080869086773024e-13,1.3653976010880385e-11,10.864740864509933
NUF2,7.770878473299176,1.237821847901089,0.1666629696859997,7.427095834384803,1.1100793504780801e-13,1.3653976010880385e-11,10.864740864509933
GIMAP6,6.075980030168844,-1.0016519127137857,0.13494551587118828,-7.422639472288274,1.1480898555352392e-13,1.4013707473288911e-11,10.853446952352819
XPO5,14.670900640754908,0.9461334975494231,0.12749699313190724,7.420829890243465,1.1638872544350274e-13,1.4098906968497037e-11,10.850814555142527
FCRLA,3.51208362201933,-3.036480403457131,0.4093989610817552,-7.416922591678874,1.1987295878064018e-13,1.4411794066935612e-11,10.841281952227549
